id,entry
323,2018-06-01 09-07-15 LAMPD_ON 5 -1
324,2018-06-01 09-08-22 AWAKE_OFF -1 -1
325,2018-06-01 09-08-22 BALLASTS_OFF -1 -1
326,2018-06-01 09-08-22 LAMPD_OFF -1 -1
327,2018-06-01 09-08-23 LAMPA_OFF -1 -1
328,2018-06-01 09-08-23 LAMPC_OFF -1 -1
329,2018-06-01 09-08-23 LAMPB_OFF -1 -1
330,2018-06-01 09-09-47 AWAKE_ON -1 -1
331,2018-06-01 09-09-53 BALLASTS_ON 6 17
332,2018-06-01 09-09-53 LAMPA_ON 6 -1
333,2018-06-01 09-09-53 LAMPB_ON 6 -1
334,2018-06-01 09-09-53 LAMPC_ON 6 -1
335,2018-06-01 09-09-53 LAMPD_ON 6 -1
336,2018-06-01 09-13-12 AWAKE_OFF -1 -1
337,2018-06-01 09-13-12 BALLASTS_OFF -1 -1
338,2018-06-01 09-13-12 LAMPD_OFF -1 -1
339,2018-06-01 09-13-13 LAMPA_OFF -1 -1
340,2018-06-01 09-13-13 LAMPC_OFF -1 -1
341,2018-06-01 09-13-13 LAMPB_OFF -1 -1
342,2018-06-01 09-15-15 AWAKE_ON -1 -1
343,2018-06-01 09-15-21 BALLASTS_ON 10 18
344,2018-06-01 09-15-21 LAMPA_ON 10 -1
345,2018-06-01 09-15-21 LAMPB_ON 10 -1
346,2018-06-01 09-15-21 LAMPC_ON 10 -1
347,2018-06-01 09-15-21 LAMPD_ON 10 -1
348,2018-06-01 09-15-57 AWAKE_OFF -1 -1
349,2018-06-01 09-15-57 BALLASTS_OFF -1 -1
350,2018-06-01 09-15-57 LAMPD_OFF -1 -1
351,2018-06-01 09-15-57 LAMPA_OFF -1 -1
352,2018-06-01 09-15-57 LAMPC_OFF -1 -1
353,2018-06-01 09-15-57 LAMPB_OFF -1 -1
354,2018-06-01 09-16-01 AWAKE_ON -1 -1
355,2018-06-01 09-16-06 BALLASTS_ON 10 19
356,2018-06-01 09-16-06 LAMPA_ON 10 -1
357,2018-06-01 09-16-06 LAMPB_ON 10 -1
358,2018-06-01 09-16-06 LAMPC_ON 10 -1
359,2018-06-01 09-16-06 LAMPD_ON 10 -1
360,2018-06-01 09-17-45 AWAKE_OFF -1 -1
361,2018-06-01 09-17-45 BALLASTS_OFF -1 -1
362,2018-06-01 09-17-45 LAMPD_OFF -1 -1
363,2018-06-01 09-17-45 LAMPA_OFF -1 -1
364,2018-06-01 09-17-45 LAMPC_OFF -1 -1
365,2018-06-01 09-17-45 LAMPB_OFF -1 -1
366,2018-06-01 09-17-48 AWAKE_ON -1 -1
367,2018-06-01 09-17-53 BALLASTS_ON 11 20
368,2018-06-01 09-17-53 LAMPA_ON 11 -1
369,2018-06-01 09-17-53 LAMPB_ON 11 -1
370,2018-06-01 09-17-53 LAMPC_ON 11 -1
371,2018-06-01 09-17-53 LAMPD_ON 11 -1
372,2018-06-01 09-19-37 AWAKE_OFF -1 -1
373,2018-06-01 09-19-37 BALLASTS_OFF -1 -1
374,2018-06-01 09-19-38 LAMPD_OFF -1 -1
375,2018-06-01 09-19-38 LAMPA_OFF -1 -1
376,2018-06-01 09-19-38 LAMPC_OFF -1 -1
377,2018-06-01 09-19-38 LAMPB_OFF -1 -1
378,2018-06-01 09-19-50 AWAKE_ON -1 -1
